ARM Address,ARM Function Name,ARM Set Size,ARM Sequence Length,MIPS Address,MIPS Function Name,MIPS Set Size,MIPS Sequence Length,Similarity Score,Intersection Size,Union Size,CLS Length,CLS Similarity Score,UserDefined
0x0003dd94,_Fork,4,4,0x00439bd0,_Fork,15,30,0.26666666666666666,4,15,4,0.23529411764705882,0
0x00038b28,_IO_adjust_column,12,17,0x00433218,_IO_adjust_column,12,17,1.0,12,12,14,0.8235294117647058,0
0x0005ca10,_IO_adjust_wcolumn,13,18,0x004623bc,_IO_adjust_wcolumn,13,18,1.0,13,13,15,0.8333333333333334,0
0x00039320,_IO_cleanup,21,739,0x00433a94,_IO_cleanup,21,562,0.9090909090909091,20,22,459,0.7056110684089162,0
0x00038650,_IO_default_doallocate,14,30,0x00432c04,_IO_default_doallocate,14,30,1.0,14,14,28,0.9333333333333333,0
0x00038990,_IO_default_finish,12,40,0x00432f9c,_IO_default_finish,12,40,1.0,12,12,35,0.875,0
0x00039a8c,_IO_default_imbue,1,1,0x004343d4,_IO_default_imbue,1,1,1.0,1,1,1,1.0,0
0x00039930,_IO_default_pbackfail,20,106,0x004341b8,_IO_default_pbackfail,20,128,1.0,20,20,73,0.6239316239316239,0
0x00039a74,_IO_default_read,2,2,0x004343bc,_IO_default_read,2,2,1.0,2,2,2,1.0,0
0x00039a60,_IO_default_seek,2,2,0x004343a8,_IO_default_seek,2,2,1.0,2,2,2,1.0,0
0x00038a10,_IO_default_seekoff,2,2,0x00433084,_IO_default_seekoff,2,2,1.0,2,2,2,1.0,0
0x000385e8,_IO_default_seekpos,12,13,0x00432b7c,_IO_default_seekpos,12,13,1.0,12,12,13,1.0,0
0x00038500,_IO_default_setbuf,20,69,0x00432a3c,_IO_default_setbuf,19,69,0.95,19,20,48,0.6956521739130435,0
0x00039a84,_IO_default_showmanyc,2,2,0x004343cc,_IO_default_showmanyc,2,2,1.0,2,2,2,1.0,0
0x00039a6c,_IO_default_stat,2,2,0x004343b4,_IO_default_stat,2,2,1.0,2,2,2,1.0,0
0x00038988,_IO_default_sync,2,2,0x00432f94,_IO_default_sync,2,2,1.0,2,2,2,1.0,0
0x000382a4,_IO_default_uflow,16,25,0x00432654,_IO_default_uflow,16,25,1.0,16,16,24,0.96,0
0x0003829c,_IO_default_underflow,2,2,0x0043264c,_IO_default_underflow,2,2,1.0,2,2,2,1.0,0
0x00039a7c,_IO_default_write,2,2,0x004343c4,_IO_default_write,2,2,1.0,2,2,2,1.0,0
0x00038444,_IO_default_xsgetn,17,76,0x004328dc,_IO_default_xsgetn,17,81,1.0,17,17,46,0.5859872611464968,0
0x000382fc,_IO_default_xsputn,18,87,0x004326e8,_IO_default_xsputn,17,87,0.9444444444444444,17,18,48,0.5517241379310345,0
0x000381e4,_IO_doallocbuf,19,54,0x00432534,_IO_doallocbuf,19,54,1.0,19,19,52,0.9629629629629629,0
0x000387d8,_IO_enable_locks,12,33,0x00432de0,_IO_enable_locks,12,29,1.0,12,12,22,0.7096774193548387,0
0x00036c1c,_IO_file_close,4,4,0x004309dc,_IO_file_close,4,4,1.0,4,4,4,1.0,0
0x00036bec,_IO_file_close_mmap,7,16,0x00430984,_IO_file_close_mmap,7,16,1.0,7,7,15,0.9375,0
0x0005b2f8,_IO_file_doallocate,22,83,0x00460230,_IO_file_doallocate,22,84,0.9130434782608695,21,23,66,0.7904191616766467,0
0x00035234,_IO_file_open,23,57,0x0042e6d8,_IO_file_open,24,62,0.88,22,25,49,0.8235294117647058,0
0x00036bc4,_IO_file_read,7,11,0x00430904,_IO_file_read,7,11,1.0,7,7,11,1.0,0
0x00036bdc,_IO_file_seek,5,5,0x00430944,_IO_file_seek,5,5,1.0,5,5,5,1.0,0
0x00036b4c,_IO_file_seekoff_maybe_mmap,16,20,0x00430860,_IO_file_seekoff_maybe_mmap,16,21,1.0,16,16,19,0.926829268292683,0
0x000369fc,_IO_file_seekoff_mmap,26,140,0x00430688,_IO_file_seekoff_mmap,25,116,0.7586206896551724,22,29,85,0.6640625,0
0x00035484,_IO_file_setbuf_mmap,9,38,0x0042ea08,_IO_file_setbuf_mmap,9,38,1.0,9,9,36,0.9473684210526315,0
0x00036be4,_IO_file_stat,5,5,0x00430964,_IO_file_stat,5,5,1.0,5,5,5,1.0,0
0x0003636c,_IO_file_sync_mmap,17,46,0x0042fdd4,_IO_file_sync_mmap,18,55,0.75,15,20,39,0.7722772277227723,0
0x00036028,_IO_file_underflow_maybe_mmap,11,18,0x0042f944,_IO_file_underflow_maybe_mmap,11,18,1.0,11,11,18,1.0,0
0x00035f9c,_IO_file_underflow_mmap,18,43,0x0042f84c,_IO_file_underflow_mmap,18,44,0.8947368421052632,17,19,35,0.8045977011494253,0
0x00036e60,_IO_file_xsgetn,26,176,0x00430da4,_IO_file_xsgetn,25,211,0.8214285714285714,23,28,140,0.7235142118863049,0
0x00037180,_IO_file_xsgetn_maybe_mmap,12,14,0x00431278,_IO_file_xsgetn_maybe_mmap,12,14,1.0,12,12,14,1.0,0
0x00037050,_IO_file_xsgetn_mmap,20,95,0x004310b8,_IO_file_xsgetn_mmap,19,100,0.95,19,20,74,0.7589743589743589,0
0x00038b60,_IO_flush_all,20,534,0x00433258,_IO_flush_all,20,413,0.9047619047619048,19,21,316,0.6673706441393875,0
0x00038f38,_IO_flush_all_linebuffered,20,551,0x00433668,_IO_flush_all_linebuffered,20,404,0.9047619047619048,19,21,307,0.6429319371727749,0
0x000346d8,_IO_fputs,21,154,0x0042d5f0,_IO_fputs,21,117,0.9090909090909091,20,22,83,0.6125461254612546,0
0x00037e28,_IO_free_backup_area,10,30,0x00431f7c,_IO_free_backup_area,10,30,1.0,10,10,25,0.8333333333333334,0
0x0005c534,_IO_free_wbackup_area,11,41,0x00461bec,_IO_free_wbackup_area,11,41,1.0,11,11,36,0.8780487804878049,0
0x0005e598,_IO_fwide,15,124,0x00464850,_IO_fwide,14,193,0.8125,13,16,99,0.6246056782334385,0
0x0003493c,_IO_fwrite,22,184,0x0042d8d0,_IO_fwrite,23,136,0.875,21,24,84,0.525,0
